participant, condition, time, judgement
p5, ol, 427.03, 
p5, ol, 443.33, 
p5, ol, 448.36, 
p5, ol, 460.72, 
p5, ol, 520.18, 
p5, ol, 520.81, 
p5, ol, 521.22, 
p5, ol, 560.83, 
p5, ol, 585.32, 
p5, ol, 609.27, 
p5, ol, 609.65, 
p5, ol, 666.28, 
p5, ol, 716.28, 
p5, ol, 732.68, 
p5, ol, 745.4, 
p5, ol, 787.41, 
p5, ol, 819.8, 
p5, ol, 861.08, 
p5, ol, 861.8, 
p5, ol, 862.0, 
p5, ol, 915.78, 
p5, ol, 916.2, 
p5, ol, 916.84, 
p5, ol, 916.87, 
p5, ol, 924.46, 
p5, ol, 924.56, 
p5, ol, 924.89, 
p5, ol, 925.73, 
p5, ol, 947.37, 
p5, ol, 954.25, 
p5, ol, 979.15, 
p5, ol, 1006.14, 
p5, ul, 21.31, 
p5, ul, 615.22, 
p5, ul, 615.3, 
p6, nl, 582.88, 
p6, ol, 83.49, 
p6, ol, 299.26, 
p6, ol, 425.38, 
p6, ol, 425.56, 
p6, ol, 730.64, 
p6, ol, 730.7, 
p6, ol, 731.4, 
p6, ol, 832.49, 
p6, ol, 933.43, 
p7, nl, 233.33, 
p7, nl, 455.31, 
p7, nl, 455.82, 
p7, nl, 456.16, 
p7, ol, 175.49, 
p7, ol, 175.52, 
p7, ol, 175.74, 
p7, ol, 306.55, 
p7, ol, 306.77, 
p7, ol, 360.42, 
p7, ol, 406.78, 
p7, ol, 525.85, 
p7, ol, 570.84, 
p7, ol, 570.99, 
p7, ol, 805.84, 
p7, ol, 827.0, 
p7, ol, 828.09, 
p7, ul, 697.2, 
p8, ol, 202.56, 
p8, ol, 253.07, 
p8, ol, 300.36, 
p8, ol, 300.67, 
p8, ol, 301.17, 
p8, ol, 326.2, 
p8, ol, 359.92, 
p8, ol, 360.13, 
p8, ol, 629.91, 
p8, ol, 965.78, 
p8, ul, 18.53, 
p9, nl, 125.23, 
p9, nl, 906.9, 
p9, ul, 288.44, 
